,gene,pval,qval,log2fc,mean
74,PCDH11X,1.4727807135784584e-06,3.5774506406200706e-06,1.5252443298284324,0.02597440245805374
75,RRAS2,9.87947495982412e-07,2.4162510746467595e-06,1.292787670183933,0.020840636289547358
76,PIP5K1B,7.175661878302729e-07,1.7655112287685045e-06,0.5657822839855822,0.02003698273744431
77,PCDH7,2.4112056627165916e-72,1.821406783521562e-71,2.3770998552848686,0.1030728315687396
78,CNKSR2,3.6608226372963027e-26,1.3890127875549067e-25,1.749259068161859,0.028782452070103676
79,PAK5,2.944297285088397e-105,3.352767936534313e-104,2.5730115958901436,0.05239874211792771
80,PYGO1,1.4600164898353022e-150,2.5612130891208417e-149,-2.309435009429942,0.01670477556128727
81,LRRC8E,0.04123210894774702,0.06913172805673946,-0.7678532155829009,0.000417789612535779
82,XKR6,0.0,0.0,-1.655608557582274,0.31792328228600647
83,TSNARE1,2.2518359138595086e-26,8.573086729603818e-26,0.2329042191136872,0.11039158890113926
84,FPR2,0.1083572053254635,0.163334537952145,0.11351368087072003,0.0002961863496362082
85,RRM1,3.40665991668346e-09,9.090311376530092e-09,0.3929649367486409,0.06088127370950652
86,PRRC1,3.81097555419753e-125,5.295615994384912e-124,-0.27056787371992314,0.11305227718274866
87,PAQR3,1.5509348655432862e-108,1.8289607009263475e-107,-0.2647501926899895,0.0986510847770792
88,ENPP6,0.0,0.0,-2.1224690729279865,0.4454940682617356
89,RICTOR,4.2233057469303656e-17,1.360240030173633e-16,0.02294892758545835,1.5160335230218576
90,STARD4,1.4754301616726538e-106,1.7061256455250821e-105,-0.4365088911490325,0.07364797327960816
91,PGGT1B,6.320709816849707e-125,8.760701543892598e-124,-0.15163240846607884,0.1754529267720514
92,CCDC112,3.6326373687175296e-224,1.0754525953603365e-222,-0.3202345805673353,0.27641667451982
93,OR4D5,,,0.0,0.0
94,TBC1D16,1.3803450928974195e-39,6.525298849823508e-39,-0.08198354701660868,0.03807512635944332
95,AGGF1,2.4348738205629587e-22,8.637330072720405e-22,-0.4013227355293693,0.0104999895416135
96,NDUFS4,8.215452420783884e-189,1.9382363352118115e-187,-0.20799631207661176,0.3706845969210332
97,HTR4,0.1224260701355276,0.18311525964920597,0.5160472698712735,0.035157183015528747
98,ESM1,0.36572188582093534,0.43011531867709313,-0.35289730838216504,0.00026848216966354326
99,TMEM174,,,0.0,0.0
100,ERAP2,2.1661132122409576e-72,1.6382144821914444e-71,-0.6270342927092882,0.03115956300548381
101,ERAP1,1.6487367670434418e-125,2.301105065856748e-124,-0.22628964771411778,0.1340369646793415
102,DUS2,3.5069851688632726e-43,1.7492230514992593e-42,-0.17521753053949085,0.038316118697082964
103,PRIMPOL,2.968625722000376e-105,3.3794615255350564e-104,-0.11351293161665489,0.16990299083641683
104,SERINC5,0.7030557976000062,0.7530178644339439,0.1628684478137534,1.2045184760742171
105,GPX8,0.2567663219073959,0.3454265184120432,2.3931715469913435,0.00013710545953479137
106,DDI1,,,0.0,0.0
107,RHOBTB3,0.09154244463530678,0.14092992713576472,0.5329519885813604,0.3240347467323325
108,ARSK,6.384135465484318e-13,1.8727256101769458e-12,0.25556272233078164,0.04459409286852263
109,GRPEL2,2.3446713651055057e-16,7.431716858268862e-16,0.01254998236638591,0.015636284442547235
110,WDR41,1.156345262768995e-178,2.520541601946467e-177,-0.1985066149791721,0.3604469490303587
111,PLAC1,7.657742959235635e-07,1.8821785720087485e-06,-0.7980202780735505,0.0020629059038084416
112,PLA2G1B,0.9999394393691183,1.0,0.28901344715647775,0.00015263138561936136
113,CEACAM3,0.41418350150359085,0.4793142601678834,1.2687963374993982,7.328412423212652e-05
114,CELP,0.10818377901632037,0.16327411661569513,1.6641748447715692,0.00031848707350398345
115,PATE1,,,0.0,0.0
116,FEZ2,3.86736792689118e-17,1.2465481156451042e-16,0.2820280765080677,0.4060812064183713
117,LURAP1,0.0,0.0,-1.1843357746625214,0.13253834294694666
118,KRT15,0.019624364446800893,0.0347087204501747,-2.1033305704633043,0.00015052973879220528
119,ESCO2,1.1016190217796353e-07,2.795649924593557e-07,-0.6413223636278976,0.002978413437667327
120,CHD7,0.023906872740349572,0.04173078913106099,0.19479750323570622,1.3531071401405979
121,CHST11,0.047862758803488184,0.07882377402880822,0.5298706561234987,0.015515258647065768
122,TENT2,8.283079004448501e-54,4.837551750881312e-53,-0.024206085888946634,1.0109958169629765
123,ZDHHC16,2.3787145528145555e-24,8.751813624115506e-24,0.136573676561097,0.044967826399794464
124,ZNF439,2.7574319050417746e-101,2.9898597167302705e-100,-0.10010134550256418,0.1671310901681778
125,FPR1,1.3285067799552823e-05,3.079000324200497e-05,-1.3005290561620202,0.000640284156091545
126,USP32,0.002437264204332695,0.0048203810388520296,0.1406575034963295,1.2610910841103973
127,PPM1D,2.7686983278019244e-22,9.813297087061296e-22,0.25645052481823316,0.2234336254132922
128,DCDC1,2.6290722182334806e-78,2.139532457478259e-77,-0.7933175497878997,0.020246565253637792
129,AC093323.1,3.394453856011452e-20,1.1576752669329424e-19,0.12362947624701673,0.0302071027623946
130,LILRP2,,,0.0,0.0
131,KIAA0232,4.462399568734285e-108,5.239640935837095e-107,-0.10740907333780755,0.7104814805203407
132,MTSS1,3.411810090865363e-153,6.1290329128784565e-152,-0.1866127794668725,0.8928139517394372
133,TMEM43,2.9086286331414423e-16,9.198586336317667e-16,0.18759185394436226,0.02959004268275145
134,TRH,0.41377742752120616,0.4793142601678834,1.057798865965117,0.0004908037066539882
135,NUDT6,3.9129907524205344e-63,2.616580794115957e-62,-0.32672266267279276,0.05203973793369039
136,TPT1-AS1,1.0881857839011e-87,1.0005322089333907e-86,-0.04424655654404536,0.5094300765535825
137,OR7G3,,,0.0,0.0
138,TANC2,0.0,0.0,-1.0046737446767884,1.6421623442235258
139,TEX13B,,,0.0,0.0
140,PKHD1,6.133931986762424e-05,0.0001367314553089697,0.03772643366283428,0.0018368641628747232
141,ZNF160,1.1732630938607537e-71,8.774027556875845e-71,0.01577329105776551,0.17672391003307988
142,PGK2,,,0.0,0.0
143,ZNF415,3.5846978719329246e-26,1.3602644987191345e-25,-0.023765446440590254,0.04650251446280804
144,RIOX2,9.672216737544672e-41,4.6455414362022825e-40,0.05161737631136598,0.06934461271808036
145,ANKRA2,1.9923192984038989e-38,9.256352872550342e-38,0.16490477573783277,0.12491004605992377
146,LMBRD2,3.970699325789357e-114,4.9522613980761404e-113,-0.13136844193028088,0.1907643265407533
147,GFM2,1.5273974090657916e-81,1.288682375558565e-80,-0.04461643876175334,0.12623769962057693
148,NDUFAF2,4.645372981057048e-95,4.6837258884423294e-94,-0.004115967790193817,0.3778385526845419
149,ZNF474,0.05877666460649885,0.09483666213893845,-1.939888979586368,8.127352437680049e-05
150,FAM98B,1.1858310705703304e-34,5.175548161611767e-34,0.17197111376529958,0.11020435668769642
151,RANBP3L,0.002625514563119945,0.005176309421711485,0.0794750497814276,0.008484981280805992
152,CALHM4,0.7055861581024793,0.7530178644339439,0.8027383604322895,0.00011549771468274823
153,CREBRF,5.417138278030066e-21,1.876910090656557e-20,0.24610064242496751,0.30663481594644143
154,DCBLD1,7.555736861733195e-192,1.8232342362619263e-190,-0.9596239230549456,0.06270328313064513
155,DLC1,0.0,0.0,-0.6067360155674677,4.246971936201511
156,PEX2,4.476443070936144e-76,3.5445019511390055e-75,0.05411984500796882,0.2094459567327337
157,RAD21,2.8860814644390804e-84,2.530268659872477e-83,0.003433489323571815,0.29348566324699366
158,SLC30A8,1.1436441150609708e-13,3.4125717027216786e-13,-1.3150622805579586,0.004053755843663361
159,MED30,1.5316191252625087e-23,5.546787559238866e-23,0.27999802957713055,0.0939793796988003
160,TNFRSF11B,2.2384185055394198e-08,5.809032958593037e-08,-0.7089020293641822,0.001991760459011375
161,SBSPON,3.21405067081209e-05,7.293297520057307e-05,-0.41280703829548043,0.0020508687040805646
162,ELOVL7,0.0,0.0,-0.6355110975729533,0.4706323365051179
163,SPIDR,1.493587063500705e-204,3.9005246260112314e-203,-0.20923742688154823,0.7837055882937279
164,DNAAF5,7.976202651866078e-46,4.133133053738628e-45,-0.06903196496480744,0.04734128018944812
165,DEFA4,,,0.0,0.0
166,OSGIN2,1.7207035522343248e-44,8.739302418985902e-44,-0.27693852526085894,0.03266909330764996
167,SUN1,1.2492409949163625e-60,8.037585340814462e-60,0.10146652537478494,0.26541255698607297
168,OXR1,3.504422514319685e-201,8.93745024368197e-200,-0.32433665878831325,0.5077050320043781
169,FAM86FP,0.004029591408231538,0.007785380651916133,0.21654491890289781,0.004912454688734881
170,GPER1,0.00030011859135851255,0.0006395480183412777,-0.7555025876832432,0.001132491720758871
171,TMEM184A,0.23950927783959208,0.32593244416743944,-0.12950492554008503,0.00043064388222457294
172,SPAG11B,,,0.0,0.0
173,CA3,0.00021497648312300265,0.0004633461907428808,0.3631199931840007,0.02346319453615468
174,ALDH7A1,5.562401869379125e-61,3.5970576379342063e-60,0.06433339029434978,0.21114079972729666
175,FOXK1,2.55540755700507e-87,2.3377224186556344e-86,-0.00854522650737461,0.2820240966498751
176,OSR2,0.5637418569857895,0.6207000818680014,-0.3197765491684596,4.323690162898808e-05
177,FZD6,1.9957523230391964e-155,3.6471057559923003e-154,-1.23065636105348,0.03615315996604939
178,ORC5,8.929993591748614e-84,7.787837396035836e-83,-0.008126823473712155,0.23749384229537773
179,TMEM161B,9.29763067661944e-99,9.807816280192522e-98,-0.015662754280998958,0.2317450180435505
180,EDIL3,5.692110414328538e-103,6.293696779069819e-102,0.16319106765714667,9.570882861999138
181,SLC45A2,2.712131093005004e-15,8.39801860265556e-15,-0.016259020608798403,0.022251655766701718
182,ADGRF2,,,0.0,0.0
183,IL3,,,0.0,0.0
184,CSF2,,,0.0,0.0
185,GJB7,4.386841871105524e-18,1.4390654237870223e-17,-0.9684711918954702,0.0035151364955026115
186,GRIK2,7.087530547442128e-282,2.7811440671332646e-280,-0.6124508439432879,0.35879990479167917
187,CGAS,3.437696875984255e-108,4.0401951378393617e-107,-1.6111381593440794,0.01857029502733137
188,SLC25A46,3.2852290480200478e-81,2.760171933575741e-80,-0.0014541325001405962,0.42450268452696016
189,ADGRV1,0.09362554895131123,0.14400034982209908,0.47948754405849947,0.042114550335781875
190,RNF180,0.0,0.0,-1.9598050761626358,0.21205545525765315
191,NIPBL,9.889425298362562e-06,2.3085827883728118e-05,0.07879780595400482,1.4205235658306172
192,HSPA4L,5.652871955940076e-41,2.72467713175495e-40,0.022744158332069386,0.04867217016563477
193,MFSD8,4.0360718483947717e-94,4.02782633754682e-93,-0.1360284558603838,0.11852016799470619
194,ABHD18,3.3536293327336394e-293,1.401096324954135e-291,-0.4792082052683634,0.28317874212047384
195,RAD54L2,1.355969960633022e-134,2.0790811847098352e-133,-0.2527695383937144,0.14727229873130637
196,POC1A,1.681017986892388e-13,4.998060658335838e-13,-0.18795712328740038,0.010137476837701257
197,ADAD1,0.2568678021985573,0.3454265184120432,0.1360959699725829,0.00011467685165876937
198,MAP9,2.8850117448205765e-97,2.984651574834472e-96,-0.12455947899123496,0.12172849999074185
199,ITGA2,0.0,0.0,-0.6308114995681624,1.544763474736934
200,PRMT9,8.023157729258148e-131,1.1835011838954471e-129,-0.3612015042788168,0.10926304383179346
201,TMEM184C,5.974892415604667e-49,3.2457278417360856e-48,0.05838929903722208,0.12582553148404135
202,LSM6,1.604688870200574e-28,6.357684863510686e-28,0.16226027891346465,0.08323481914158203
203,OTUD4,8.848078116080288e-34,3.808511888600217e-33,0.19579776837768803,0.21934166534859634
204,ABCE1,2.5261453689552306e-48,1.35890428981974e-47,0.10588411647476446,0.14848971465095917
205,UBLCP1,1.2200740538335161e-48,6.593002637805223e-48,0.06650255833993267,0.11186861967180783
206,ICE1,7.565687329738415e-80,6.265329681323475e-79,0.04308436199098037,0.2841068213277537
207,IL15,0.13098767699701877,0.19504054355154202,0.2504369642456182,0.0010132743523460373
208,NAA15,1.217473768809169e-114,1.526931716233277e-113,-0.08598204648132568,0.4325168060834781
209,NPY5R,0.8411739433390182,0.8793461805614374,0.4171845225196896,0.00043096417993443014
210,TMEM144,1.4993262869311405e-23,5.431387163400866e-23,0.1001787886516329,6.728302594200388
211,CEP44,3.896474839245678e-93,3.846204257122768e-92,-0.02796156000387458,0.2334251106779877
212,CALM2P3,0.47953967121503616,0.5477026715950574,-0.12606219781307854,0.00015509776980875738
213,ARFIP1,2.0447119376024577e-100,2.1970562393268147e-99,-0.013357661683073127,0.4064403409084741
214,LRG1,,,0.0,0.0
215,NFRKB,9.688278247708599e-32,4.0396451936331035e-31,0.016140319999606186,0.03661830724200923
216,TMEM126A,3.017521717643129e-50,1.6730735227828652e-49,-0.00803575476274228,0.0669936838432064
217,ANKRD20A4P,0.4502632563641621,0.5183060602413082,0.8278677600041966,0.0003986745583795137
218,REG3A,,,0.0,0.0
219,EIF2AK3,9.184709580530362e-39,4.2897254772906086e-38,0.15649249396969353,0.1488190554795835
220,KRCC1,6.880144219642976e-60,4.382267720776273e-59,0.059254096966824564,0.29208459531490705
221,NME6,7.773345319553285e-26,2.9298645104918316e-25,-0.03149645714984777,0.02532648343537284
222,OR1A2,,,0.0,0.0
223,OR8I2,,,0.0,0.0
224,LCE1D,,,0.0,0.0
225,SNTB1,0.13247586919205043,0.19658042481425034,0.9009606233383353,0.022374396973198155
226,MTBP,1.1098037506960036e-71,8.304348489595272e-71,-0.15555146833212657,0.07278109906452628
227,TEFM,7.013942853779037e-89,6.542111398156398e-88,-0.052659510587318555,0.15138244423955147
228,PDE7B,1.1952621439388927e-23,4.3356700503008084e-23,-0.22295762316386608,0.03375645860948398
229,KCND3,8.463384672170485e-48,4.513884137444566e-47,-0.126670863417907,0.044184142499289765
230,SLC16A5,0.007054148730308051,0.013240907183713353,-0.6561075149574651,0.00037771012138866736
231,ZNF556,0.13664374969316717,0.20215889379549024,0.48664989018519017,0.003305602696796137
232,DENND5B,3.915694064531343e-60,2.502445072907971e-59,0.047719217092233146,0.5986818896592232
233,RALGAPB,1.287776598572369e-108,1.5209815238315066e-107,-0.07490144539178797,0.37390761752876206
234,KISS1,0.04542364024631676,0.0751347900875225,3.0607734591132814,0.0004972023268398554
235,NUDT9,8.693153817166894e-57,5.30811773624508e-56,0.11372165555984204,0.13224002151725794
236,COX7B2,2.1820838753439215e-07,5.475616426393183e-07,-0.7835308145107708,0.002294734733615681
237,ELOVL6,0.0,0.0,-1.0224156309542798,0.3787309807848821
238,TMC7,1.0532465292149547e-13,3.1462798319206744e-13,0.18254367970972726,0.5763805597599654
239,SMAGP,0.014480177205257017,0.026051738212990033,0.2521197275898484,0.0033616056149693044
240,CDH2,5.797349605607252e-23,2.078579229066035e-22,0.2164766843182688,0.5874394145962698
241,HSPA4,2.0196503462955367e-90,1.9238179373638133e-89,-0.03956062046281987,0.17384880352407595
242,FOXA3,0.34589920426555665,0.40862334160686586,0.13032400635496033,0.00036841276503710234
243,SLC26A5,4.295130587942057e-62,2.826477817992543e-61,-0.44249907302736413,0.040716150286084114
244,SGCD,0.0,0.0,-1.2769769190338591,1.2024981056829118
245,DPY19L2P2,2.1571648990911404e-186,4.987396661721519e-185,-0.5406941255265842,0.11550873619788704
246,ZNF16,1.991199635625111e-31,8.255570023567788e-31,-0.08248447143406057,0.037984080204728536
247,KRT6C,,,0.0,0.0
248,ARMC10,3.614327184661324e-19,1.2102389875205708e-18,0.330867699592267,0.22696732221538696
249,OR52P2P,,,0.0,0.0
250,JMJD1C,1.7094943347979414e-26,6.523300264844383e-26,-0.016698880244280147,2.4829912093533424
251,OR5B12,0.08326246088475368,0.12918039568839096,-1059.7070329112305,2.490910845501099e-05
252,PDZD3,0.0046750487978659775,0.008948642264051778,-1062.0425910037618,0.00012572777387633678
253,OR9I1,,,0.0,0.0
254,ARNT2,5.044193098153202e-60,3.2187882335594253e-59,0.0404791243981302,0.5192876553525678
255,MYOZ2,4.555712601198915e-11,1.2805736741488826e-10,-1.4646834064534664,0.0011542873850115803
256,SYNPO2,0.0774328315385226,0.12278782034629547,0.458706691918423,0.006667800546073858
257,DNAJB7,6.627349022302352e-09,1.7511459947833856e-08,-0.3588833441643754,0.004171228699231805
258,EFCAB3,8.178711013332083e-05,0.00018103011910652902,-0.7581772450238128,0.0010916207039402945
259,TTC36,0.006552176919682306,0.012362022530019074,-0.06353995709569342,0.0021796887373824792
260,GTPBP2,8.6200644773158e-73,6.550492555139341e-72,-0.16391715557643446,0.06576968893923657
261,FGGY,1.0270283243873352e-16,3.280945184523035e-16,0.3253830748751505,0.23651380037650793
262,OR5AR1,,,0.0,0.0
263,OR4C11,,,0.0,0.0
264,MALT1,1.0963211429124755e-22,3.9108724077568713e-22,0.15411728990171514,0.0547167681069639
265,LDHAL6B,0.002495848561251363,0.004930361980547461,-0.5951178510211869,0.00030684700074092133
266,ADRA1D,0.5090820973569743,0.5789126148598888,0.4189947059621101,0.0010612049377575594
267,FRMD5,0.0,0.0,0.3776760312510413,10.470616191895685
268,AQP4,0.3036309522765903,0.3768156911490736,0.6258044714639026,0.018076805189399976
269,TLN2,0.0,0.0,-1.395596030653712,0.5243947700904302
270,TVP23B,1.923958353912946e-41,9.33842817844472e-41,0.05457405270736971,0.07622739209958164
271,FBXW10,0.0005949789770648995,0.0012413694548311686,-0.5501444327942205,0.0008864509036185719
272,OR10H2,,,0.0,0.0
273,SRGAP2C,0.46713356179388166,0.536197999554114,0.7056165715564793,0.0004070067151447104
274,ATPAF2,5.778172629464708e-47,3.0467746128959908e-46,-0.03943389987063027,0.058940755652121646
275,CYP4F22,0.0016297832125792904,0.0032702090666015125,-0.926034947180566,0.0009737586513347492
276,FOXB1,0.026999090414227114,0.046645476691887254,0.012646284693338535,0.0010149402985398478
277,PPIH,3.040594024415366e-34,1.3183057978865984e-33,0.05014072324936617,0.06368412405840772
278,DRC3,2.2551316670089856e-19,7.586528940170968e-19,-0.1313778147824815,0.015736044357957148
279,ZNF57,8.99364970135577e-10,2.440017380525901e-09,-0.012778545847037606,0.007708099046523557
280,C11orf40,0.31733470624207705,0.3768156911490736,0.6625482679624821,8.820777163563774e-05
281,MRPL13,2.158728582955773e-55,1.2926587532261648e-54,-0.0119658987165725,0.08131042762652059
282,RNF34,1.706855795596708e-165,3.3749153878477308e-164,-0.24133482057898079,0.20741204054491488
283,ACYP2,5.7315792956142116e-05,0.0001279797435076727,0.08029341903267927,1.912615235536384
284,ATF7,1.4922937139027168e-303,6.513101384549979e-302,-0.383963374967261,0.8832362683520575
285,SP7,0.04144780226451429,0.0694631256601066,0.1331235906066857,0.0024952664332086117
286,TCAF2,0.25113866151104103,0.3401061055942309,1.383994879009933,0.0003900348172171293
287,AC091390.1,1.0,1.0,1.722987113057704,3.914244748353728e-05
288,KRT8,0.06231869441218154,0.10001966699633281,0.10226561841445593,0.0017212713209123962
289,ADORA2B,0.027210537548331047,0.04700439323872283,0.23177327251897067,0.0025537278396981933
290,MGMT,2.127715795374816e-112,2.610116781563788e-111,-0.06514778954261004,0.2246421713873081
291,KRT86,1.2282596169001782e-65,8.504297278417334e-65,-4.291042801399311,0.005012302654982552
292,HARS1,7.225276097924385e-41,3.4746619952431514e-40,0.18709630499888324,0.12832907625287493
293,HTRA3,0.17968928320117716,0.24978060677148137,-2.9034155777770834,8.01250311770019e-05
294,BFSP2,0.3306078030525501,0.39177739283762836,0.012721503854756212,0.0005923931771232855
295,KRT38,,,0.0,0.0
296,OR13H1,,,0.0,0.0
297,SOX7,0.008746225659726789,0.0162062291536697,0.35693636069907686,0.0029914371264457658
298,C8orf74,0.000966047957684278,0.001980727449728983,-1.6625078966255409,0.0003078384555268993
299,CST2,,,0.0,0.0
300,FAM86JP,4.887991639159186e-05,0.00010967684908735839,-0.4596424630173037,0.0018339544600375643
301,KYAT1,7.79082297655404e-31,3.200495278195817e-30,0.1273369858026155,0.07856840790317425
302,MTM1,1.1730920590648929e-192,2.846952460795576e-191,-0.28706388768931335,0.23885222468243575
303,TRMT61B,8.927732183415448e-92,8.655584011513878e-91,-0.06266957609044309,0.16479509736337034
304,INSR,8.686811579905672e-142,1.4168873921984843e-140,-0.19104247421246695,0.9750903111550806
305,MFN1,5.250235827398488e-175,1.1088940437668359e-173,-0.18003742416025167,0.44987764934524815
306,GIMAP8,0.9996647711702963,1.0,0.017973856293402226,0.0007233954520163668
307,KCNMB3,1.6525641291917615e-43,8.283909807981121e-43,-0.3089621327447084,0.02697592946759049
308,FUT3,0.0016984131439212384,0.003405764833939636,-1.9583577709446234,0.0003678717880383367
309,OR2K2,5.953680549105215e-08,1.5234864760376556e-07,-1.7262179105435655,0.0009361941753578812
310,SOCS5,0.0015630232800381142,0.0031488727928379507,-0.8991430576809525,0.0008073977083776866
311,MORN4,3.842765616584344e-71,2.8502444135311792e-70,-0.16021896780811523,0.0646702646123929
312,RBKS,3.9426555433921226e-45,2.0215726216434754e-44,-0.0521476108390755,0.074191483071051
313,OR2M4,4.015081297434042e-32,1.683532822656893e-31,-0.5294620609439746,0.013393854054244371
314,SMR3B,0.3173298659080288,0.3768156911490736,1059.9497869341772,2.9473684210526314e-05
315,ALK,3.4925481930377006e-118,4.5355511673865875e-117,-0.43466563894907567,0.07518809966273761
316,CST5,,,0.0,0.0
317,SMAD1,1.8011994077894498e-06,4.354098454231292e-06,0.4081128656804694,0.10022108317400402
318,SETMAR,3.542049110928796e-34,1.5329299775625737e-33,0.14078425024002442,0.07109836020055631
