SampleID	Pool	QC	Project
ZF01	ZF_skin	OK	Zebrafish
ZF02	ZF_skin	OK	Zebrafish
10X01_1	Cortex2	OK	Adolescent
10X02_1	Cortex2	OK	Adolescent
10X04_1	Hippocampus	OK	Adolescent
10X04_2	Hippocampus	OK	Adolescent
10X04_3	Olfactory	FAILED	Adolescent
10X04_4	Olfactory	OK	Adolescent
10X05_1	Cortex1	OK	Adolescent
10X05_2	Cortex1	OK	Adolescent
10X05_3	StriatumDorsal	OK	Adolescent
10X05_4	StriatumDorsal	OK	Adolescent
10X06_1	Amygdala	OK	Adolescent
10X06_2	Amygdala	OK	Adolescent
10X06_3	Hypothalamus	OK	Adolescent
10X07_1	Hippocampus	OK	Adolescent
10X08_1	Cephalic_E7-8	OK	Development
10X09_1	Hindbrain_E9-11	FAILED	Development
10X09_2	Midbrain_E9-11	FAILED	Development
10X09_3	Forebrain_E9-11	FAILED	Development
10X10_2	Midbrain_E12-15	OK	Development
10X10_3	ForebrainDorsal_E12-15	OK	Development
10X10_4	ForebrainVentral_E12-15	FAILED	Development
10X11_1	Medulla	OK	Adolescent
10X12_2	Midbrain_E12-15	OK	Development
10X12_3	ForebrainDorsal_E12-15	OK	Development
10X12_4	ForebrainVentral_E12-15	OK	Development
10X13_2	Midbrain_E12-15	FAILED	Development
10X13_3	Midbrain_E12-15	FAILED	Development
10X13_4	ForebrainDorsal_E12-15	OK	Development
10X13_5	ForebrainVentral_E12-15	OK	Development
10X14_2	Hindbrain_E12-15	OK	Development
10X14_3	Midbrain_E12-15	OK	Development
10X14_4	ForebrainDorsal_E12-15	OK	Development
10X15_2	Midbrain_E12-15	OK	Development
10X15_3	Midbrain_E12-15	OK	Development
10X15_4	ForebrainDorsal_E12-15	OK	Development
10X15_5	ForebrainVentral_E12-15	OK	Development
10X16_2	Midbrain_E12-15	OK	Development
10X16_3	Midbrain_E12-15	OK	Development
10X16_4	ForebrainDorsal_E12-15	OK	Development
10X16_5	ForebrainVentral_E12-15	OK	Development
10X17_2	Hindbrain_E16-18	OK	Development
10X17_3	Midbrain_E16-18	OK	Development
10X17_4	ForebrainDorsal_E16-18	OK	Development
10X17_5	ForebrainVentrolateral_E16-18	OK	Development
10X18_2	Hindbrain_E16-18	OK	Development
10X18_3	Midbrain_E16-18	OK	Development
10X18_4	ForebrainDorsal_E16-18	OK	Development
10X18_5	ForebrainVentrolateral_E16-18	OK	Development
10X19_1	Cortex2	FAILED	Adolescent
10X19_2	Cortex2	OK	Adolescent
10X19_3	Hypothalamus	FAILED	Adolescent
10X19_4	Hypothalamus	FAILED	Adolescent
10X20_1	Cortex3	OK	Adolescent
10X20_2	Cortex3	OK	Adolescent
10X20_3	MidbrainDorsal	OK	Adolescent
10X20_4	MidbrainDorsal	OK	Adolescent
10X21_2	Cephalic_E7-8	OK	Development
10X22_1	Cortex1	OK	Adolescent
10X22_2	Cortex1	OK	Adolescent
10X22_3	Hippocampus	OK	Adolescent
10X22_4	Hippocampus	OK	Adolescent
10X23_2	Cephalic_E7-8	OK	Development
10X23_3	Hindbrain_E9-11	OK	Development
10X23_4	Midbrain_E9-11	OK	Development
10X24_1	StriatumDorsal	OK	Adolescent
10X24_2	StriatumDorsal	OK	Adolescent
10X24_3	Thalamus	OK	Adolescent
10X24_4	Thalamus	OK	Adolescent
10X25_2	Hindbrain_E9-11	OK	Development
10X25_3	Midbrain_E9-11	OK	Development
10X25_4	Forebrain_E9-11	OK	Development
10X25_5	Forebrain_E9-11	OK	Development
10X25_6	Midbrain_E9-11	OK	Development
10X25_7	Hindbrain_E9-11	OK	Development
10X26_1	Cerebellum	OK	Adolescent
10X26_2	Cerebellum	OK	Adolescent
10X26_3	StriatumVentral	OK	Adolescent
10X26_4	StriatumVentral	OK	Adolescent
10X27_2	Hindbrain_E9-11	OK	Development
10X27_3	Midbrain_E9-11	OK	Development
10X27_7	Forebrain_E9-11	OK	Development
10X28_2	Cortex3	OK	Adolescent
10X28_3	Cortex3	OK	Adolescent
10X28_4	Olfactory	OK	Adolescent
10X28_5	Olfactory	OK	Adolescent
10X29_2	Hindbrain_E12-15	OK	Development
10X29_3	Midbrain_E12-15	OK	Development
10X30_4	ForebrainDorsal_E16-18	OK	Development
10X30_5	ForebrainVentrolateral_E16-18	OK	Development
10X31_5	ForebrainVentrolateral_E16-18	OK	Development
10X32_2	ForebrainDorsal_E16-18	OK	Development
10X32_3	Hindbrain_E16-18	OK	Development
10X32_4	ForebrainVentrothalamic_E16-18	OK	Development
10X32_5	Midbrain_E16-18	OK	Development
10X32_6	ForebrainVentrolateral_E16-18	OK	Development
10X33_1	Medulla	OK	Adolescent
10X33_2	Medulla	OK	Adolescent
10X33_3	Pons	OK	Adolescent
10X33_4	Pons	OK	Adolescent
10X34_1	Amygdala	OK	Adolescent
10X34_2	Amygdala	OK	Adolescent
10X34_3	MidbrainVentral	OK	Adolescent
10X34_4	MidbrainVentral	OK	Adolescent
10X35_1	Cortex2	OK	Adolescent
10X35_2	Cortex2	OK	Adolescent
10X35_3	Hypothalamus	OK	Adolescent
10X35_4	Hypothalamus	OK	Adolescent
10X36_1	Hippocampus	OK	Adolescent
10X36_2	Hippocampus	OK	Adolescent
10X36_3	Cortex2	OK	Adolescent
10X37_2	Cephalic_E7-8	OK	Development
10X38_1	Hippocampus	OK	Adolescent
10X38_2	Hippocampus	OK	Adolescent
