,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PBRM1,3976.558379,-0.033082477,0.089341526,-0.370292276,0.711164728,0.866679335
SLMAP,2760.558995,0.25985651,0.097684376,2.660164503,0.007810249,0.035172211
UVSSA,899.7319985,0.055792843,0.114317706,0.488050759,0.625513888,0.815765752
ZDHHC19,4.661172376,-0.634898312,1.166325852,-0.544357575,0.586195435,NA
SLC51A,135.8342024,-0.862851113,0.225833975,-3.820732076,0.000133056,0.000987793
UBXN7,1253.510406,0.104921432,0.104674107,1.002362813,0.316168395,0.560578305
RNF168,739.2357804,0.054656527,0.120398509,0.453963484,0.64985511,0.831134835
PIGX,418.3354491,0.100572313,0.140248809,0.71709923,0.473312871,0.706263563
MELTF,12.17962016,0.87971486,0.682053305,1.289803677,0.197118831,0.416176083
OTOP1,1.964012424,-1.384326448,1.7558774,-0.788395846,0.4304652,NA
ABLIM2,398.7991302,-0.271057265,0.152380767,-1.778815461,0.075270021,0.211875431
ERMAP,316.2200423,-0.660867916,0.156047804,-4.235035034,2.29E-05,0.000198041
AIMP1,1045.834433,-0.048903417,0.108460327,-0.450887608,0.652070555,0.831946897
SGMS2,1146.977905,-1.06654616,0.111704705,-9.547907263,1.32E-21,5.08E-20
METAP1,609.2074201,-0.243808173,0.130881507,-1.862816055,0.06248815,0.18483918
DNAJB14,2353.868035,-0.118362982,0.096626304,-1.22495612,0.220591754,0.448445287
EMCN,10.03401035,-1.059709855,0.866768088,-1.222599067,0.221481166,0.449344371
TASOR,2345.384667,-0.147818448,0.095988646,-1.53995762,0.123570684,0.302804332
STT3B,1991.85474,0.301079797,0.097221224,3.096852551,0.001955871,0.010764352
FBLN2,16.06206173,0.50002859,0.612693537,0.816115333,0.414434175,0.657173343
TRAT1,2.535409874,0.21989235,1.45564836,0.151061449,0.879927243,NA
CCNL1,1395.417076,0.211235943,0.104226263,2.026705526,0.042692537,0.13878102
SERPINI1,4213.432652,-0.933999385,0.092310635,-10.11800417,4.60E-24,2.04E-22
FCRL1,0.663845546,1.041180281,3.254099024,0.319959618,0.748998943,NA
SMIM14,2661.469106,-0.168462697,0.095047345,-1.772408238,0.076326815,0.21370735
DPPA2,1.1317482,1.067442045,2.209521775,0.483109991,0.62901764,NA
ALPI,0,NA,NA,NA,NA,NA
HELQ,439.363939,0.057921142,0.13937625,0.415573972,0.677721776,0.846836208
CGGBP1,2618.868719,0.056447722,0.098279733,0.57435771,0.565725764,0.776161424
ABRAXAS1,262.5779369,0.142495268,0.16751678,0.850632803,0.394973362,0.639571602
CLDN1,1.659155412,2.761110856,2.140773194,1.289772716,0.197129584,NA
HIPK1,680.8422074,0.237856319,0.122124133,1.947660247,0.05145563,0.159727754
DCST2,16.23085908,-0.934844003,0.610722322,-1.530718576,0.125838961,0.306944036
DCST1,11.09368027,-0.086350665,0.721010351,-0.119763419,0.90467056,0.960589133
COL6A3,6.053433823,0.358668947,0.944664736,0.37967856,0.704184037,0.862634238
YY1AP1,966.6548423,0.028906696,0.112521982,0.256898214,0.79725735,0.913863336
