,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC243562.3,0,NA,NA,NA,NA,NA
AC012100.2,3.74844825,-0.635494482,1.264931476,-0.502394394,0.615390122,NA
AC023906.4,6.271746338,0.600825245,0.930211842,0.645901522,0.518343134,0.741463746
AC012236.1,5.747063066,0.996176071,1.050950475,0.94788108,0.343189998,0.588620283
AC004943.2,581.4807503,-0.108457542,0.131875698,-0.822422508,0.410836474,0.653389883
PCSK6-AS1,82.15740067,-1.60522518,0.293363149,-5.471802398,4.45E-08,5.88E-07
AC021739.4,0.555136936,-0.59824169,3.246524179,-0.184271442,0.853800517,NA
AC009558.2,0,NA,NA,NA,NA,NA
AC078905.1,0,NA,NA,NA,NA,NA
AC015660.2,1.569833884,-1.572288251,2.086801248,-0.753444178,0.451183044,NA
AC100839.1,8.81576359,-1.340068553,0.821776267,-1.630697559,0.102954152,0.265373719
AC090907.2,60.5317323,0.201992619,0.318120506,0.634956299,0.525456917,0.747205346
AC068234.1,35.66003215,-0.58541546,0.420155464,-1.393330591,0.163519844,0.36787389
NSA2P4,0,NA,NA,NA,NA,NA
HSPE1P3,0,NA,NA,NA,NA,NA
AC068714.1,0,NA,NA,NA,NA,NA
AC019288.1,0,NA,NA,NA,NA,NA
AC084756.1,27.94161628,-0.601213425,0.474275129,-1.26764696,0.204924054,0.427321353
AC127381.1,0,NA,NA,NA,NA,NA
AC243562.2,1.547175653,-2.820544105,2.344574868,-1.203008761,0.22897293,NA
NUTF2P6,0.161224221,-0.214089652,4.069179944,-0.052612481,0.958040672,NA
AC013391.2,10.36344629,-0.786714697,0.742087685,-1.060137116,0.289082225,0.531678809
AC103968.1,0,NA,NA,NA,NA,NA
AL132640.1,10.78860437,-0.524203583,0.724143038,-0.72389508,0.469130151,0.702965087
KRT8P24,0,NA,NA,NA,NA,NA
AC090519.2,25.20005404,-0.787079178,0.486597302,-1.617516526,0.105766831,0.27051054
AC021818.2,0,NA,NA,NA,NA,NA
AC016705.2,609.2489137,0.229474075,0.125525665,1.828104833,0.06753382,0.196581657
IGHV3OR15-7,0,NA,NA,NA,NA,NA
AC023355.1,77.35126623,0.319164808,0.27728127,1.151050731,0.249711365,0.485158526
NDUFAF4P1,0,NA,NA,NA,NA,NA
RORA-AS2,1.814871425,-0.197299367,1.801306846,-0.109531237,0.912781147,NA
AC012404.1,119.3170166,-0.524363227,0.235208889,-2.229351237,0.025790544,0.09263645
AC012653.1,0,NA,NA,NA,NA,NA
AC018904.2,0,NA,NA,NA,NA,NA
AC036108.1,112.6283723,-0.084616805,0.245572013,-0.344570231,0.730417489,0.877862686
AC023906.5,67.00020808,-0.03800056,0.309557478,-0.122757687,0.902298982,0.959962747
LINC02205,0,NA,NA,NA,NA,NA
AC079203.2,14.66275563,-1.048886355,0.643510928,-1.629943346,0.103113471,0.26550578
AC116158.2,1.555971918,0.703974305,1.909523618,0.368664885,0.712377526,NA
AC066616.2,0,NA,NA,NA,NA,NA
AC091073.1,0.322448442,-0.621298018,4.048601841,-0.153459896,0.878035614,NA
AC108449.3,6.930406632,-0.220507464,0.900201052,-0.244953573,0.806492379,0.917676413
AC092757.2,65.65487393,-0.57116865,0.310199688,-1.841293436,0.065578569,0.192053385
AC022929.1,0,NA,NA,NA,NA,NA
AC092078.1,0,NA,NA,NA,NA,NA
LINC00933,6.039326191,-0.629830027,0.97269312,-0.647511547,0.517300924,0.740945178
AC103740.2,0,NA,NA,NA,NA,NA
LINC01581,1.273227019,1.187112131,2.210283125,0.537086004,0.591208208,NA
AL354993.2,1.120839472,0.098771267,2.29648446,0.043009769,0.965693746,NA
AC087465.1,4.318847062,0.582801847,1.158570959,0.50303509,0.614939602,NA
AC022087.1,69.1210742,-0.49247823,0.30733919,-1.602393204,0.109068687,0.276175756
KRT8P9,0,NA,NA,NA,NA,NA
MTND3P12,0,NA,NA,NA,NA,NA
AC140725.2,0,NA,NA,NA,NA,NA
AC027237.4,0,NA,NA,NA,NA,NA
AC009996.1,0,NA,NA,NA,NA,NA
PIGHP1,0,NA,NA,NA,NA,NA
AC115102.1,3.87896708,-1.451431009,1.260398313,-1.151565338,0.249499732,NA
AC010247.2,0,NA,NA,NA,NA,NA
AC068875.1,159.8648702,-0.448284421,0.212842192,-2.106182123,0.035188535,0.119116237
ANP32BP1,0,NA,NA,NA,NA,NA
AC090985.2,0,NA,NA,NA,NA,NA
AC013356.2,0,NA,NA,NA,NA,NA
AC004943.1,0,NA,NA,NA,NA,NA
ITGB3,0,NA,NA,NA,NA,NA
AC073964.1,0,NA,NA,NA,NA,NA
AC012568.1,0,NA,NA,NA,NA,NA
AC090971.3,54.65263145,-0.23776629,0.336031718,-0.707570974,0.479211724,0.711082139
AC068722.1,17.43401023,-0.268023735,0.587384933,-0.456299984,0.648174276,0.830114053
AC068831.3,15.45535103,0.258060041,0.630733532,0.409142733,0.682434918,0.849747742
AC021739.1,0,NA,NA,NA,NA,NA
AC025040.1,1.204009213,-2.142726683,2.284864735,-0.937791481,0.34835158,NA
AC090971.2,6.438552806,-0.149569993,0.941187153,-0.158916314,0.873734807,0.948101539
MED28P6,0,NA,NA,NA,NA,NA
AC019254.1,0.570791756,-2.124393567,3.184747131,-0.66705251,0.504738593,NA
AC114546.1,37.55281682,-0.692777106,0.402206701,-1.722440486,0.084989755,0.230914772
AC012378.1,0,NA,NA,NA,NA,NA
UBE2CP4,0,NA,NA,NA,NA,NA
AC018946.1,114.4975859,-0.502230361,0.240788177,-2.085776666,0.036998858,0.123804715
AC108451.1,25.71864158,-0.26731965,0.48187901,-0.554744334,0.579069548,0.786161495
AC090515.3,1.376922269,-2.453480008,2.155708977,-1.138131368,0.255065632,NA
AC103739.1,1.276117066,1.268849903,2.139014411,0.593193714,0.553051519,NA
AC105133.1,0,NA,NA,NA,NA,NA
AC012414.1,0,NA,NA,NA,NA,NA
AC021755.1,0,NA,NA,NA,NA,NA
AC020891.1,0,NA,NA,NA,NA,NA
LINC02254,19.73744264,-0.368402841,0.545080844,-0.675868259,0.499124292,0.727470308
AC021231.3,0.323773573,-1.006458945,4.039666784,-0.24914405,0.803249356,NA
LINGO1-AS1,4.744058565,-2.713230478,1.342678861,-2.020759063,0.043304712,NA
AC021351.1,87.89217765,-0.462132405,0.276793334,-1.669593697,0.094999778,0.250089914
AC016987.2,0,NA,NA,NA,NA,NA
AC100830.1,79.12046119,-0.198927205,0.283743938,-0.701080017,0.483253081,0.714469787
UBE2Q2P8,0,NA,NA,NA,NA,NA
AC104046.1,0,NA,NA,NA,NA,NA
AC007000.4,1794.698334,0.229832672,0.11399848,2.016102946,0.043789212,0.141678897
AC026956.1,0,NA,NA,NA,NA,NA
AL132640.2,26.79292167,-0.262747793,0.495601275,-0.53015964,0.596001251,0.796788705
AC069029.1,32.11119123,-0.768790033,0.441835177,-1.739992812,0.08186028,0.224759944
AC016987.1,5.259740147,-2.082814827,1.185245135,-1.757286121,0.078869052,NA
AC010867.1,1.300483964,-0.651951873,2.138429016,-0.304874218,0.760461953,NA
AC020661.3,162.2117458,-0.685017792,0.208838015,-3.280139365,0.001037558,0.006172301
AC104574.2,13.70365938,-0.67686889,0.670493054,-1.009509174,0.312730504,0.556715193
AC087477.6,0,NA,NA,NA,NA,NA
LINC01582,0,NA,NA,NA,NA,NA
AC027807.1,22.01059841,-1.327803851,0.548269693,-2.421807858,0.015443514,0.061595743
AC111152.2,122.5082455,-0.36166769,0.24268689,-1.490264638,0.136154667,0.323821534
AC084759.2,0.802155118,-1.137236872,2.801274728,-0.405971203,0.684763759,NA
MTCO3P23,0,NA,NA,NA,NA,NA
AC012379.1,0,NA,NA,NA,NA,NA
AC087612.1,3.151821792,-1.701366021,1.445981335,-1.176616862,0.239348464,NA
IQCH-AS1,386.6539333,0.108726253,0.149997822,0.724852214,0.4685427,0.702559821
AC092868.1,1.891828713,0.888199257,1.839095192,0.482954477,0.62912806,NA
AC073941.2,0,NA,NA,NA,NA,NA
AC018618.1,3.307494863,-2.818333494,1.606237091,-1.754618611,0.079324566,NA
AC066613.2,1582.175905,-0.037426428,0.10565084,-0.354246382,0.723154247,0.874637239
AC136428.1,0,NA,NA,NA,NA,NA
AC090527.2,0,NA,NA,NA,NA,NA
MTCYBP23,0,NA,NA,NA,NA,NA
AC091231.2,0,NA,NA,NA,NA,NA
AC027808.2,101.5505037,-0.177608225,0.2525408,-0.70328527,0.481877989,0.713219427
AC027176.2,3.256773539,-1.480754076,1.471580549,-1.006233792,0.31430312,NA
AC018904.1,39.58647427,-1.000470355,0.397262167,-2.518413376,0.011788488,0.04965134
KRT18P47,0,NA,NA,NA,NA,NA
SNRPCP18,0,NA,NA,NA,NA,NA
AP002812.2,763.0343793,-0.45700377,0.117745965,-3.881269036,0.000103913,0.000794091
OR5D2P,0,NA,NA,NA,NA,NA
LINC02699,0.897215592,-2.51664104,2.68199683,-0.938346016,0.348066619,NA
NAV2-AS2,13.30833237,-1.25897941,0.70440299,-1.787299923,0.073889026,0.209186656
CAPS2-AS1,20.03574053,-0.430181354,0.559872277,-0.768356234,0.442275574,0.680337102
ALG9-IT1,0,NA,NA,NA,NA,NA
SF3A3P2,0,NA,NA,NA,NA,NA
AC022762.1,23.15056936,-0.464287957,0.499352002,-0.929780907,0.352484534,0.598657761
SLC25A1P1,0,NA,NA,NA,NA,NA
SUGT1P4,0,NA,NA,NA,NA,NA
MRGPRX7P,0,NA,NA,NA,NA,NA
AP000866.3,0.322448442,-0.621298018,4.048601841,-0.153459896,0.878035614,NA
ENPP7P12,0,NA,NA,NA,NA,NA
AC090791.1,2.284818649,-2.260020884,1.729415059,-1.306812308,0.191276464,NA
PTP4A2P2,17.65296532,0.011601822,0.60358005,0.019221679,0.984664264,0.993335959
OR8I4P,0,NA,NA,NA,NA,NA
AC027369.2,0,NA,NA,NA,NA,NA
LINC02760,0.671241901,-1.105145744,3.03484054,-0.364152821,0.715743895,NA
PHBP2,0,NA,NA,NA,NA,NA
AP002802.1,2.522253235,-2.917384219,1.709788981,-1.706283202,0.087955364,NA
RANP3,0,NA,NA,NA,NA,NA
AP002336.1,0,NA,NA,NA,NA,NA
AC002056.2,1.720960227,-1.709510391,1.976840251,-0.864769113,0.387165527,NA
AC104042.1,0.580032226,-0.808787265,3.20564375,-0.252301044,0.800808381,NA
AP000487.2,0,NA,NA,NA,NA,NA
AP001328.1,0,NA,NA,NA,NA,NA
OR5M7P,0,NA,NA,NA,NA,NA
AC007876.1,0,NA,NA,NA,NA,NA
AC130364.1,0.555136936,-0.59824169,3.246524179,-0.184271442,0.853800517,NA
AC026191.1,0.888352876,0.991472215,2.565821946,0.38641505,0.699189306,NA
LINC02750,1.641554574,-1.108649526,2.10701914,-0.526169651,0.598770338,NA
PHBP19,0,NA,NA,NA,NA,NA
AP002815.1,0,NA,NA,NA,NA,NA
OR4A3P,0,NA,NA,NA,NA,NA
AC105219.2,0.161224221,-0.214089652,4.069179944,-0.052612481,0.958040672,NA
AP003532.1,0,NA,NA,NA,NA,NA
AP002336.2,735.0799229,-0.129910969,0.118392758,-1.097288144,0.272515452,0.511614437
OR5M6P,0,NA,NA,NA,NA,NA
CYCSP26,0,NA,NA,NA,NA,NA
AP002748.3,0,NA,NA,NA,NA,NA
AC084337.1,7.224045059,0.294850118,0.926228637,0.318334055,0.750231555,0.888573835
LINC02686,0,NA,NA,NA,NA,NA
OR7E126P,0.322448442,-0.621298018,4.048601841,-0.153459896,0.878035614,NA
AC123788.1,0,NA,NA,NA,NA,NA
AP003396.2,0,NA,NA,NA,NA,NA
AC022039.1,0.616237505,0.639793893,3.380468823,0.189261882,0.849887569,NA
AP003066.1,13.13350731,-0.124884895,0.668689045,-0.186760791,0.85184819,0.938551617
AC124301.1,0,NA,NA,NA,NA,NA
PPIAP41,0,NA,NA,NA,NA,NA
AL035078.1,1.710455295,0.125663751,1.735023968,0.072427674,0.942261562,NA
PSMA2P1,2.309109689,-0.284117101,1.630910852,-0.174207622,0.861702296,NA
AC068587.1,0,NA,NA,NA,NA,NA
AC084125.1,1.301089657,2.875400646,2.271675013,1.265762325,0.205598187,NA
AC087276.1,0,NA,NA,NA,NA,NA
AP000776.1,0,NA,NA,NA,NA,NA
AL358944.1,206.5066231,-0.971776007,0.216173607,-4.495349926,6.95E-06,6.51E-05
LINC02755,51.68905432,-0.817555275,0.415957974,-1.965475661,0.04935921,0.154966193
AP001107.4,26.03540778,0.304634364,0.471809353,0.645672584,0.518491419,0.741463746
AP004609.2,0,NA,NA,NA,NA,NA
AP000640.1,4.094523553,-0.658951884,1.176204998,-0.560235575,0.575318764,NA
OR2AT1P,0,NA,NA,NA,NA,NA
AP001284.1,0.251310662,1.556898051,4.068403913,0.382680305,0.701956819,NA
AP002495.1,986.2390402,0.168142267,0.113892348,1.476326292,0.139856319,0.32999732
THAP12P4,1.075518319,-0.438963973,2.368461272,-0.185337197,0.852964564,NA
AC021269.1,0,NA,NA,NA,NA,NA
AC010202.1,0,NA,NA,NA,NA,NA
AP001120.1,0,NA,NA,NA,NA,NA
AL117209.1,134.2261715,-0.129307135,0.223901155,-0.577518836,0.563589018,0.774368479
AC087762.1,32.33539379,-0.140881802,0.43788215,-0.321734518,0.747653826,0.887279552
CERNA1,13.74341491,-1.053579492,0.65971932,-1.597011729,0.110263093,0.278498395
AC012404.2,1.599247059,-2.138258189,2.042211392,-1.047030781,0.295085382,NA
AC243562.1,0,NA,NA,NA,NA,NA
KRT8P23,2.418699215,-1.653825378,1.635408716,-1.011261198,0.311891432,NA
AC009554.1,1201.242312,-0.387043501,0.107609189,-3.596751385,0.000322216,0.002198585
ANP32AP1,175.2104083,-0.909950252,0.220045045,-4.135290809,3.55E-05,0.000295083
CYCSP38,0,NA,NA,NA,NA,NA
OR4N3P,0,NA,NA,NA,NA,NA
HNRNPA1P5,0,NA,NA,NA,NA,NA
ANP32BP3,1.804632318,0.571271634,1.707977011,0.334472672,0.738022909,NA
LINC02568,4.342308908,-0.128185449,1.126233867,-0.113817789,0.909382237,NA
MGC15885,10.44520419,-1.33506665,0.793883171,-1.681691586,0.09262866,0.245757286
AC100826.1,0,NA,NA,NA,NA,NA
AC023908.2,9.948907261,-0.269203865,0.779917904,-0.34516949,0.729966954,0.877677906
ADNP-AS1,84.50909651,-0.230737932,0.27007305,-0.854353785,0.392908994,0.637845235
AC087286.4,0,NA,NA,NA,NA,NA
AC009269.1,0,NA,NA,NA,NA,NA
NIFKP8,0,NA,NA,NA,NA,NA
LINC02352,302.3101596,0.229548821,0.156505507,1.466714022,0.142453867,0.334487758
AC013652.2,0,NA,NA,NA,NA,NA
AC055874.1,2.498280724,0.073640787,1.468258255,0.050155201,0.959998711,NA
AL161669.1,0,NA,NA,NA,NA,NA
AC012414.3,0,NA,NA,NA,NA,NA
AC105339.3,225.2107122,-0.250689846,0.185178273,-1.353775698,0.175807949,0.38628127
MRPL15P1,0.323773573,-1.006458945,4.039666784,-0.24914405,0.803249356,NA
NPM1P43,10.68146354,-0.850884998,0.809968966,-1.050515556,0.293481142,0.535955815
LINC01833,1.036370642,-0.050617514,2.231372985,-0.02268447,0.981901964,NA
MAPK6-DT,15.90302503,0.446204982,0.592587871,0.752976907,0.451463791,0.68791519
CPEB1-AS1,1242.548012,-0.688785264,0.106327317,-6.477970912,9.30E-11,1.62E-09
WBP1LP5,0,NA,NA,NA,NA,NA
TYRO3P,0,NA,NA,NA,NA,NA
AC025430.1,10.56104948,-0.373952131,0.758152966,-0.493241005,0.621842308,0.812861214
AC015712.2,10.91694462,-0.087608037,0.747370024,-0.11722177,0.906684316,0.961763112
AC067863.1,0.085793962,-0.204935325,4.067605486,-0.050382301,0.95981774,NA
AC084882.1,0,NA,NA,NA,NA,NA
HNRNPA1P74,0,NA,NA,NA,NA,NA
CYCSP2,1.301809095,-1.146770633,2.051432269,-0.559009747,0.576155068,NA
AC013452.1,3.119784396,-1.417062741,1.379421384,-1.027287788,0.304284971,NA
AC021739.3,0.666949421,-2.500925961,2.988064047,-0.836972006,0.402608303,NA
AC060809.1,77.03425599,-0.433819451,0.28197676,-1.538493638,0.123927963,0.30360378
AC051619.5,181.3174093,0.07386018,0.196489578,0.375898718,0.706992194,0.864215469
AC091045.1,114.1502848,0.103687649,0.24183726,0.428749687,0.668105397,0.841430678
AC040958.1,0,NA,NA,NA,NA,NA
AC009269.2,36.22546885,-0.701193844,0.40460993,-1.733011949,0.083093545,0.227190388
AC022306.1,0,NA,NA,NA,NA,NA
AC068397.1,0.891915066,-1.927658666,2.915773109,-0.661114083,0.508539154,NA
GCSHP2,0,NA,NA,NA,NA,NA
AC022613.2,123.409865,0.039654399,0.234520795,0.169086921,0.865728272,0.944867207
INO80-AS1,112.4500936,-0.665831266,0.248302645,-2.6815311,0.00732861,0.03337197
AC051619.4,326.8285143,-0.185661373,0.158720396,-1.169738591,0.242106183,0.476284347
AC114546.2,6.945208751,-0.571245381,0.902288735,-0.633107073,0.526663723,0.748055355
AC073167.1,311.3718919,-0.290529138,0.163555664,-1.776331865,0.075678234,0.21247499
LINC02244,0,NA,NA,NA,NA,NA
AC022898.1,0,NA,NA,NA,NA,NA
PRELID1P4,0,NA,NA,NA,NA,NA
MTND5P40,0,NA,NA,NA,NA,NA
NPM1P47,0,NA,NA,NA,NA,NA
AC023034.1,0,NA,NA,NA,NA,NA
AC021755.2,6.671908387,-0.167720327,0.931402421,-0.180072891,0.857095344,0.940660438
AC079075.1,0,NA,NA,NA,NA,NA
AC020687.1,54.28698114,-0.050110652,0.334234588,-0.149926589,0.880822534,0.950465455
MESTP2,0,NA,NA,NA,NA,NA
LINC02169,0.967354733,-1.827004562,2.44739362,-0.746510307,0.455359208,NA
AC051619.3,80.6831127,0.113729131,0.271265788,0.419253498,0.675030878,0.845399264
AC025043.1,489.5339445,-0.437359085,0.139467825,-3.135913851,0.001713195,0.009578988
USP3-AS1,374.8483524,0.066693108,0.150914541,0.441926322,0.658542522,0.835766825
TTTY25P,0,NA,NA,NA,NA,NA
HMGN2P47,0,NA,NA,NA,NA,NA
NBAT1,57.08577772,-0.485088257,0.331073344,-1.465198769,0.142866695,0.335083482
AC027458.1,0.412534883,0.672676373,3.971071399,0.169394177,0.865486603,NA
MYL12BP1,0.646548509,0.689758959,2.90682339,0.2372896,0.81243213,NA
AC009086.1,0,NA,NA,NA,NA,NA
AC009145.2,0,NA,NA,NA,NA,NA
AC004381.1,45.5174889,-0.234815646,0.373023985,-0.629492087,0.529026948,0.749479011
AC096644.3,0,NA,NA,NA,NA,NA
AC010551.1,0,NA,NA,NA,NA,NA
AC126696.3,1.866512995,1.240086325,1.780080131,0.696646349,0.486024142,NA
AC009148.1,75.48182729,0.087355789,0.280943046,0.310937715,0.755847973,0.891505576
AC002310.3,5.518284596,-0.618774801,1.00191145,-0.6175943,0.536842803,0.755629311
AC007216.1,3.944275953,-0.746167684,1.285317197,-0.580531939,0.561555955,NA
FTLP14,0,NA,NA,NA,NA,NA
AC116348.1,0,NA,NA,NA,NA,NA
AL355607.2,0.161224221,-0.214089652,4.069179944,-0.052612481,0.958040672,NA
LINC01584,13.05394966,-3.439011553,0.897070759,-3.833601218,0.000126281,0.000942544
AC023794.5,0,NA,NA,NA,NA,NA
AC018552.2,0.726926758,0.270876803,2.752571794,0.098408624,0.921607827,NA
AC018557.1,128.3393898,-0.150850606,0.247110098,-0.61045909,0.541557736,0.758778023
AL049796.1,14.07876431,0.475045659,0.634568049,0.748612635,0.454090715,0.690252855
AL365181.1,0.333014043,0.676411497,4.078115203,0.165863754,0.868264172,NA
AC133485.2,0,NA,NA,NA,NA,NA
AC100756.1,0.085793962,-0.204935325,4.067605486,-0.050382301,0.95981774,NA
AC026471.1,70.94869565,0.003417131,0.296083007,0.011541124,0.99079172,0.996017795
AC026462.2,0,NA,NA,NA,NA,NA
ACTR3BP3,0,NA,NA,NA,NA,NA
AC098657.2,0.161224221,-0.214089652,4.069179944,-0.052612481,0.958040672,NA
COX6CP1,0,NA,NA,NA,NA,NA
AC009812.4,10.15685472,0.159553152,0.734133992,0.217335192,0.827947133,0.927783009
MRC1,13.4106053,0.322454828,0.654955183,0.492331134,0.622485274,0.813233653
AC074050.1,0,NA,NA,NA,NA,NA
AC140658.2,0,NA,NA,NA,NA,NA
AC110079.1,157.7080993,-0.507673598,0.207446493,-2.447250814,0.014395063,0.058233494
AC025279.2,0,NA,NA,NA,NA,NA
AC022523.3,0,NA,NA,NA,NA,NA
IGHV2OR16-5,0,NA,NA,NA,NA,NA
AL356801.1,0,NA,NA,NA,NA,NA
AC044860.3,0,NA,NA,NA,NA,NA
AC087632.2,2.011563412,-0.695929151,1.748241647,-0.398073774,0.690575805,NA
ACTG1P17,159.343593,-0.189674359,0.202861835,-0.934992819,0.349792,0.596145663
AC103739.2,136.7128959,-0.372029764,0.221548978,-1.679221307,0.093108921,0.246787198
AC024270.1,0,NA,NA,NA,NA,NA
ZHX1-C8orf76,114.2776921,0.188920748,0.236028649,0.800414478,0.423470695,0.664968402
AC090888.2,0,NA,NA,NA,NA,NA
AL596325.1,1.611137792,-0.396889846,1.950484214,-0.203482727,0.838757745,NA
AC092325.1,0,NA,NA,NA,NA,NA
AL355835.1,1555.681505,-0.493968639,0.110620037,-4.465453562,7.99E-06,7.41E-05
AL513534.2,109.8577184,-0.48689891,0.239541825,-2.032625867,0.042090336,0.137267023
AC009852.1,0,NA,NA,NA,NA,NA
TPRKBP2,0,NA,NA,NA,NA,NA
LCMT1-AS1,257.8385325,0.039062254,0.167930609,0.232609491,0.816064656,0.922049508
AC011904.1,0,NA,NA,NA,NA,NA
AC138749.2,0,NA,NA,NA,NA,NA
AC020978.2,5.519295089,0.804845279,1.043015545,0.771652237,0.440320427,0.67889002
LINC01544,1.134513651,0.662748622,2.359256971,0.280914131,0.778776262,NA
LMF1-AS1,148.3485154,-0.384878805,0.227046123,-1.695156912,0.090045658,0.240920902
AC018552.1,0,NA,NA,NA,NA,NA
LINC01917,8.15085909,0.060288368,0.827071721,0.072893761,0.941890659,0.976840957
AC074051.1,0,NA,NA,NA,NA,NA
AL031709.1,34.70989219,-0.17355149,0.421074965,-0.412162927,0.680220008,0.848471222
LINC02367,11.62272086,-0.109763731,0.809754907,-0.135551794,0.892175616,0.955862908
AL023284.4,509.8746124,0.095172442,0.132275557,0.719501357,0.471832067,0.705053284
AC092127.1,0,NA,NA,NA,NA,NA
AC138869.1,0,NA,NA,NA,NA,NA
GEMIN8P2,0,NA,NA,NA,NA,NA
AC027277.2,0,NA,NA,NA,NA,NA
AC136428.2,0,NA,NA,NA,NA,NA
PABPC1P13,0,NA,NA,NA,NA,NA
CYP3A52P,0,NA,NA,NA,NA,NA
AL591643.1,0,NA,NA,NA,NA,NA
RN7SKP176,0,NA,NA,NA,NA,NA
AC130456.4,0,NA,NA,NA,NA,NA
AGGF1P5,0,NA,NA,NA,NA,NA
AP007216.2,0,NA,NA,NA,NA,NA
AC093249.3,0,NA,NA,NA,NA,NA
AC134508.1,0,NA,NA,NA,NA,NA
AC093536.1,0,NA,NA,NA,NA,NA
AC138915.1,0,NA,NA,NA,NA,NA
AC116903.2,902.8876117,-0.293656724,0.126598722,-2.319586805,0.02036324,0.07686367
AC138305.1,33.48235365,0.369278502,0.491670662,0.751068816,0.452611242,0.68909368
AC237221.1,31.56720163,-1.036491662,0.443010198,-2.339656436,0.019301486,0.073708397
AF213884.3,28.77885859,0.349574907,0.443238874,0.78868287,0.430297382,0.670672826
AC106785.1,0,NA,NA,NA,NA,NA
AC133485.4,0,NA,NA,NA,NA,NA
AC127537.1,7.440549991,-0.164600043,0.896965672,-0.183507629,0.854399734,0.939226785
AL031705.1,6.471062546,0.928298976,0.967757055,0.959227289,0.337444256,0.583193997
AL359715.2,15.45250792,-0.000456099,0.613534933,-0.000743395,0.999406857,0.999703254
AC114811.2,167.5749812,-0.075238781,0.198682124,-0.378689231,0.704918651,0.863111517
AC027104.1,0,NA,NA,NA,NA,NA
AC026470.1,0,NA,NA,NA,NA,NA
HNRNPA3P11,7.854329437,-0.95505579,0.937269628,-1.018976569,0.30821409,0.552330275
SLC7A5P1,0,NA,NA,NA,NA,NA
AC093520.1,0,NA,NA,NA,NA,NA
AC022968.1,0,NA,NA,NA,NA,NA
AC007494.2,26.41394412,-0.734120288,0.504205294,-1.455994804,0.145394056,0.338782862
AC009962.1,16.69507033,-0.20005218,0.583099329,-0.343084222,0.7315351,0.878382468
AC099482.1,1.622941814,-1.045248451,1.896393562,-0.551176967,0.581512368,NA
AC010760.1,0,NA,NA,NA,NA,NA
AC020658.3,0,NA,NA,NA,NA,NA
AC009093.2,0,NA,NA,NA,NA,NA
AC133548.1,0,NA,NA,NA,NA,NA
LINC01570,26.6366294,-5.908939862,1.125730258,-5.248983779,1.53E-07,1.87E-06
AC108206.1,0,NA,NA,NA,NA,NA
LINC01882,3.237441341,0.207107925,1.267168902,0.163441452,0.870170868,NA
ACTG1P16,0,NA,NA,NA,NA,NA
FRG2GP,0,NA,NA,NA,NA,NA
AC093515.1,6.076198924,-0.157291746,0.975092022,-0.161309643,0.871849529,0.947260143
AL133367.1,21.9431212,-0.224558522,0.51044374,-0.439928055,0.659989216,0.836594323
ITFG1-AS1,101.6168466,-0.564711401,0.260557722,-2.167317843,0.030210627,0.105254654
AC009019.1,9.318327121,-0.475398672,0.827226384,-0.574689929,0.56550102,0.77604572
AC013565.2,0,NA,NA,NA,NA,NA
AL132996.1,48.04897356,-0.183689239,0.35482697,-0.517686802,0.604676808,0.802220048
AC079148.1,17.34940235,0.32736599,0.561139427,0.583395096,0.559627359,0.771384852
AC010546.1,0,NA,NA,NA,NA,NA
AC133555.4,0,NA,NA,NA,NA,NA
AC009055.1,2.581776959,-0.127417058,1.422435893,-0.089576661,0.928623631,NA
AC090518.1,179.2129201,-0.101282009,0.198729407,-0.509647819,0.610298216,0.805664143
WBP11P1,0,NA,NA,NA,NA,NA
AC009108.2,0,NA,NA,NA,NA,NA
LINC02176,1.905879202,-1.807180528,1.901428307,-0.950433167,0.341892198,NA
AC133485.1,0,NA,NA,NA,NA,NA
MOCS1P1,0,NA,NA,NA,NA,NA
AP007216.1,0,NA,NA,NA,NA,NA
AC087190.1,88.42780313,-0.393212698,0.27201077,-1.445577681,0.14829569,0.343839461
AC012173.1,3.35447596,1.12898365,1.280112102,0.881941236,0.377808586,NA
OR11K1P,0,NA,NA,NA,NA,NA
AC024270.2,0,NA,NA,NA,NA,NA
AC092287.1,3.510593235,-0.313400869,1.246372147,-0.251450475,0.801465847,NA
AC109460.1,13.34674977,0.243211775,0.646174951,0.376386883,0.706629296,0.864052522
AC126323.4,0,NA,NA,NA,NA,NA
AC109597.1,193.3653724,-0.370870396,0.207441642,-1.78783002,0.073803436,0.209024643
AC007610.2,28.37425811,-0.193643174,0.462385711,-0.418791432,0.675368567,0.845664266
AL356961.1,0,NA,NA,NA,NA,NA
AC091544.4,12.84431624,-0.005692909,0.6578582,-0.008653702,0.993095431,0.996747346
AC116158.1,5.690675055,0.592619501,0.989377602,0.598982128,0.549184803,0.764329721
AC009432.1,0,NA,NA,NA,NA,NA
AC127029.1,0,NA,NA,NA,NA,NA
AC074091.2,19.72134471,-0.362462423,0.566822591,-0.639463615,0.522521376,0.74480352
AL049869.2,109.5223529,-0.373071425,0.24214658,-1.540684261,0.123393649,0.302605302
AL121576.1,0,NA,NA,NA,NA,NA
AL139022.1,261.257799,-0.343452415,0.181763774,-1.889553722,0.058817671,0.177061694
AL109628.1,0.161224221,-0.214089652,4.069179944,-0.052612481,0.958040672,NA
AC005476.2,71.19376011,-0.054107147,0.303345286,-0.178368181,0.858433836,0.941358031
AL096869.2,5.959176964,-1.166204681,1.100063478,-1.060124896,0.289087783,0.531678809
