,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RNA5SP95,0,NA,NA,NA,NA,NA
RNU6-101P,0,NA,NA,NA,NA,NA
RN7SKP199,0,NA,NA,NA,NA,NA
RNU6-757P,0,NA,NA,NA,NA,NA
RNU2-33P,0,NA,NA,NA,NA,NA
RNU6-174P,0,NA,NA,NA,NA,NA
RNU4-62P,0,NA,NA,NA,NA,NA
RNU6-1165P,0,NA,NA,NA,NA,NA
MIR1278,0,NA,NA,NA,NA,NA
MIR1275,0,NA,NA,NA,NA,NA
MIR548H3,0,NA,NA,NA,NA,NA
MIR302E,0,NA,NA,NA,NA,NA
SNORA11E,0,NA,NA,NA,NA,NA
MIR1298,0,NA,NA,NA,NA,NA
U3,0,NA,NA,NA,NA,NA
AC104701.1,0,NA,NA,NA,NA,NA
SNORA3C,0,NA,NA,NA,NA,NA
RNU6ATAC25P,0,NA,NA,NA,NA,NA
MIR1203,0,NA,NA,NA,NA,NA
SNORD93,0,NA,NA,NA,NA,NA
MIR1197,0,NA,NA,NA,NA,NA
SNORA11G,0,NA,NA,NA,NA,NA
SNORA11,0,NA,NA,NA,NA,NA
MIR548N,0,NA,NA,NA,NA,NA
MIR1290,0,NA,NA,NA,NA,NA
MIR1225,0,NA,NA,NA,NA,NA
MIR1184-3,0,NA,NA,NA,NA,NA
MIR1293,0,NA,NA,NA,NA,NA
AC007688.1,0,NA,NA,NA,NA,NA
MIR1185-2,0,NA,NA,NA,NA,NA
MIR548H4,0,NA,NA,NA,NA,NA
MIR1302-4,0,NA,NA,NA,NA,NA
MIR1179,0,NA,NA,NA,NA,NA
U3,0,NA,NA,NA,NA,NA
MIR1276,0,NA,NA,NA,NA,NA
U3,0,NA,NA,NA,NA,NA
AC053527.1,0,NA,NA,NA,NA,NA
MIR1268A,0,NA,NA,NA,NA,NA
SNORA77,0,NA,NA,NA,NA,NA
MIR1233-1,0,NA,NA,NA,NA,NA
MIR1267,0,NA,NA,NA,NA,NA
AC021590.1,0,NA,NA,NA,NA,NA
MIR1260A,0,NA,NA,NA,NA,NA
MIR548J,0,NA,NA,NA,NA,NA
MIR1289-1,0,NA,NA,NA,NA,NA
FAM218BP,0,NA,NA,NA,NA,NA
POM121L12,0,NA,NA,NA,NA,NA
DENND10P1,0.856626672,-0.616023953,2.843058196,-0.216676519,0.828460448,NA
HEPN1,2131.494098,-0.204175217,0.107472458,-1.899791077,0.057460542,0.251551841
FXYD7,77.33446044,-1.092451946,0.314393062,-3.474796611,0.000511241,0.005701069
OR4C12,0,NA,NA,NA,NA,NA
FADS3,858.7367623,-0.481240925,0.108835804,-4.421715175,9.79E-06,0.000164265
TTC4P1,0,NA,NA,NA,NA,NA
OR4E2,0.357360468,-1.229046113,4.027010916,-0.305200591,0.760213382,NA
OR2A2,0,NA,NA,NA,NA,NA
AC106876.1,0,NA,NA,NA,NA,NA
FAM243A,0,NA,NA,NA,NA,NA
PSMB11,0.125416704,1.079133603,4.06730708,0.26531894,0.790763775,NA
LINC01124,0,NA,NA,NA,NA,NA
IGLC6,0,NA,NA,NA,NA,NA
OR1C1,0,NA,NA,NA,NA,NA
RNA5SP177,0,NA,NA,NA,NA,NA
KRTAP1-3,0,NA,NA,NA,NA,NA
MAGEA3,0,NA,NA,NA,NA,NA
MIR1302-7,0,NA,NA,NA,NA,NA
MIR1205,0,NA,NA,NA,NA,NA
MIR548F2,0,NA,NA,NA,NA,NA
MIR1183,0,NA,NA,NA,NA,NA
MIR1252,0,NA,NA,NA,NA,NA
MIR548H2,0,NA,NA,NA,NA,NA
SNORD23,0,NA,NA,NA,NA,NA
RNU6ATAC34P,0.125416704,1.079133603,4.06730708,0.26531894,0.790763775,NA
MIR1256,0,NA,NA,NA,NA,NA
PPP3CB-AS1,814.8229064,-0.840762454,0.108126908,-7.775700489,7.50E-15,4.44E-13
KRTAP10-9,0,NA,NA,NA,NA,NA
OR4A5,0,NA,NA,NA,NA,NA
DPP3P2,0,NA,NA,NA,NA,NA
TAS2R41,0,NA,NA,NA,NA,NA
KRTAP12-2,0,NA,NA,NA,NA,NA
MRPS21P3,0,NA,NA,NA,NA,NA
RN7SKP139,0,NA,NA,NA,NA,NA
RNU6-613P,0,NA,NA,NA,NA,NA
SNORD19C,0,NA,NA,NA,NA,NA
Y_RNA,0,NA,NA,NA,NA,NA
RNU2-8P,0,NA,NA,NA,NA,NA
RNU4-55P,0,NA,NA,NA,NA,NA
RN7SKP123,0,NA,NA,NA,NA,NA
U3,0,NA,NA,NA,NA,NA
RNU6-394P,0,NA,NA,NA,NA,NA
RNU6-248P,0,NA,NA,NA,NA,NA
RN7SKP213,0,NA,NA,NA,NA,NA
RNA5SP38,0,NA,NA,NA,NA,NA
RN7SKP119,0,NA,NA,NA,NA,NA
RNU4-72P,0,NA,NA,NA,NA,NA
RNU6-733P,0,NA,NA,NA,NA,NA
RN7SKP120,0,NA,NA,NA,NA,NA
Y_RNA,0,NA,NA,NA,NA,NA
RNU6-1267P,0,NA,NA,NA,NA,NA
Y_RNA,0,NA,NA,NA,NA,NA
RNU2-16P,0,NA,NA,NA,NA,NA
RN7SKP54,0,NA,NA,NA,NA,NA
AL355598.1,0,NA,NA,NA,NA,NA
RN7SKP159,0,NA,NA,NA,NA,NA
RNU6-887P,0,NA,NA,NA,NA,NA
RNU2-49P,0,NA,NA,NA,NA,NA
