,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AL353898.1,0,NA,NA,NA,NA,NA
AL021026.1,0,NA,NA,NA,NA,NA
AC069152.1,0.119120156,-0.692228862,4.070290804,-0.17006865,0.864956148,NA
RPL5P25,0,NA,NA,NA,NA,NA
AC011225.1,0,NA,NA,NA,NA,NA
Z84721.2,0,NA,NA,NA,NA,NA
USP9YP19,0,NA,NA,NA,NA,NA
AL035404.1,0,NA,NA,NA,NA,NA
RPL23AP18,0,NA,NA,NA,NA,NA
RPL21P66,0,NA,NA,NA,NA,NA
AL035252.1,0,NA,NA,NA,NA,NA
SNX18P3,0,NA,NA,NA,NA,NA
SLC25A5P8,0,NA,NA,NA,NA,NA
ANKRD49P2,0.193827817,-0.686987405,4.069415954,-0.1688172,0.865940429,NA
FREM2-AS1,32.40811326,-1.608951319,0.481473358,-3.341724507,0.000832597,0.008711464
RPL7AP52,0,NA,NA,NA,NA,NA
ARL6IP1P2,0.697654897,0.541466644,3.093076602,0.175057625,0.861034354,NA
RPF2P1,0,NA,NA,NA,NA,NA
