Lane,Sample,Index
1,10X14_2,SI-3A-E10
2,10X14_4,SI-3A-A9
3,10X15_3,SI-3A-B1
4,10X15_4,SI-3A-B9
5,10X16_5,SI-3A-E1
6,10X17_2,SI-3A-F10
7,10X17_3,SI-3A-F1
8,10X17_4,SI-3A-D9
