Lane,Sample,Index
1,10X27_2,SI-3A-F2
2,10X27_3,SI-3A-G2
3,10X29_2,SI-3A-A3
4,10X31_5,SI-3A-C4
5,10X32_3,SI-3A-C3
6,10X32_4,SI-3A-D3
7,10X32_5,SI-3A-E3
8,10X32_6,SI-3A-F3
