Lane,Sample,Index
1,10X58_2,SI-3A-E2
2,10X58_5,SI-3A-G2
3,10X59_3,SI-3A-H2
4,10X59_5,SI-3A-A3
5,10X59_6,SI-3A-B3
6,10X59_7,SI-3A-C3
7,10X60_2,SI-3A-D3
8,10X60_3,SI-3A-E3
