Lane,Sample,Index
1,10X51_5,SI-3A-E1
2,10X57_1,SI-3A-F1
3,10X57_2,SI-3A-G1
4,10X57_3,SI-3A-H1
5,10X57_4,SI-3A-A2
6,10X57_5,SI-3A-B2
7,10X57_6,SI-3A-C2
8,10X57_7,SI-3A-D2
