Lane,Sample,Index
1,10X68_6,SI-3A-G4
2,10X69_4,SI-3A-H4
3,10X70_3,SI-3A-A5
4,10X70_4,SI-3A-B5
5,10X70_5,SI-3A-C5
6,10X70_6,SI-3A-D5
7,10X71_3,SI-3A-G5
8,10X71_5,SI-3A-C6
