Lane,Sample,Index
1,10X54_1,SI-GA-A1
2,10X54_2,SI-GA-B1
3,10X54_3,SI-GA-C1
4,10X54_4,SI-GA-D1
5,10X54_5,SI-GA-E1
6,10X54_6,SI-GA-F1
7,10X54_7,SI-GA-G1
8,10X54_8,SI-GA-H1
1,10X55_1,SI-GA-A2
2,10X55_2,SI-GA-B2
3,10X55_3,SI-GA-C2
4,10X55_4,SI-GA-D2
5,10X55_5,SI-GA-E2
6,10X55_6,SI-GA-F2
7,10X55_7,SI-GA-G2
8,10X55_8,SI-GA-H2
