Lane,Sample,Index
1,10X14_3,SI-3A-A6
2,10X16_3,SI-3A-B6
3,10X17_5,SI-3A-C6
4,10X18_2,SI-3A-D6
5,10X18_4,SI-3A-E6
6,10X23_2,SI-3A-F6
7,10X25_5,SI-3A-G6
8,10X25_7,SI-3A-H6
