Lane,Sample,Index
1,10X19_3,SI-3A-A5
2,10X19_4,SI-3A-B5
3,10X20_3,SI-3A-C5
4,10X20_4,SI-3A-D5
5,10X24_3,SI-3A-E5
6,10X24_4,SI-3A-F5
7,10X26_1,SI-3A-G5
8,10X26_2,SI-3A-H5
