Lane,Sample,Index
1,10X36_3,SI-3A-A12
2,10X38_1,SI-3A-B12
3,10X38_2,SI-3A-C12
4,10X38_3,SI-3A-D12
5,10X43_2,SI-3A-F12
6,10X43_3,SI-3A-G12
7,10X37_2,SI-3A-A5
8,10X39_2,SI-3A-B5
