Lane,Sample,Index
1,10X18_3,SI-3A-G1
2,10X18_5,SI-3A-H1
3,10X21_2,SI-3A-D10
4,10X23_3,SI-3A-A2
6,10X23_4,SI-3A-B2
5,10X25_2,SI-3A-C2
7,10X25_3,SI-3A-D2
8,10X25_4,SI-3A-A1
