Lane,Sample,Index
1,10X24_1,SI-3A-A8
2,10X24_2,SI-3A-B8
3,10X26_3,SI-3A-C8
4,10X26_4,SI-3A-D8
5,10X28_2,SI-3A-E8
6,10X28_3,SI-3A-F8
7,10X28_4,SI-3A-G8
8,10X28_5,SI-3A-H8
