Lane,Sample,Index
1,10X48_1,SI-3A-D7
2,10X48_2,SI-3A-E7
3,10X48_3,SI-3A-F7
4,10X53_1,SI-3A-A11
5,10X53_2,SI-3A-B11
6,10X53_3,SI-3A-C11
7,10X53_4,SI-3A-D11
8,10X53_5,SI-3A-E11
