Lane,Sample,Index
1,10X29_3,SI-3A-B3
2,10X30_5,SI-3A-H3
3,10X15_2,SI-3A-D4
4,10X49_1,SI-3A-B8
5,10X49_2,SI-3A-C8
6,10X49_3,SI-3A-D8
7,10X49_4,SI-3A-E8
8,10X49_5,SI-3A-F8
