Lane,Sample,Index
1,10X52_1,SI-3A-A10
2,10X46_2,SI-3A-H11
3,10X56_8,SI-3A-G12
4,10X46_3,SI-3A-H12
5,10X51_1,SI-3A-A1
6,10X51_2,SI-3A-B1
7,10X51_3,SI-3A-C1
8,10X51_4,SI-3A-D1
