Lane,Sample,Index
1,10X19_1,SI-3A-A7
2,10X19_2,SI-3A-B7
3,10X20_1,SI-3A-C7
4,10X20_2,SI-3A-D7
5,10X22_1,SI-3A-E7
6,10X22_2,SI-3A-F7
7,10X22_3,SI-3A-G7
8,10X22_4,SI-3A-H7
