Lane,Sample,Index
1,10X50_1,SI-3A-A9
2,10X50_2,SI-3A-B9
3,10X50_3,SI-3A-C9
4,10X50_4,SI-3A-D9
5,10X50_5,SI-3A-E9
6,10X50_6,SI-3A-F9
7,10X50_7,SI-3A-G9
8,10X50_8,SI-3A-H9
