Lane,Sample,Index
1,10X39_3,SI-3A-C5
2,10X40_3,SI-3A-D5
3,10X40_4,SI-3A-E5
4,10X40_5,SI-3A-F5
5,10X40_6,SI-3A-G5
6,10X41_3,SI-3A-H5
7,10X41_4,SI-3A-A6
8,10X42_3,SI-3A-C6
