Lane,Sample,Index
1,10X33_3,SI-3A-A11
2,10X33_4,SI-3A-B11
3,10X35_1,SI-3A-C11
4,10X35_2,SI-3A-D11
5,10X35_3,SI-3A-E11
6,10X35_4,SI-3A-F11
7,10X36_1,SI-3A-G11
8,10X36_2,SI-3A-H11
