Lane,Sample,Index
1,10X05_1,SI-3A-A1
2,10X05_3,SI-3A-B1
3,10X06_3,SI-3A-C1
4,10X11_1,SI-3A-D1
5,10X09_2,SI-3A-E1
6,10X10_2,SI-3A-F1
7,10X12_2,SI-3A-G1
8,10X13_2,SI-3A-H1
