Lane,Sample,Index
3,10x27_7,SI-3A-G9
4,10X30_4,SI-3A-A10
5,10X32_2,SI-3A-C10
6,10X15_5,SI-3A-C1
7,10X16_2,SI-3A-D1
8,10X25_6,SI-3A-E2
