Lane,Sample,Index
1,10X09_1,SI-3A-A3
2,10X09_3,SI-3A-B3
3,10X10_3,SI-3A-B2
4,10X10_4,SI-3A-C3
5,10X12_3,SI-3A-C2
6,10X12_4,SI-3A-D2
7,10X13_3,SI-3A-E2
8,10X13_4,SI-3A-F2
