Lane,Sample,Index
1,10X44_3,SI-3A-D6
2,10X45_4,SI-3A-E6
3,10X45_5,SI-3A-F6
4,10X47_2,SI-3A-G6
5,10X47_3,SI-3A-H6
6,10X45_6,SI-3A-A7
7,10X45_2,SI-3A-B7
8,10X48_4,SI-3A-A8
