Lane,Sample,Index
1,10X71_6,SI-3A-D6
2,10X71_7,SI-3A-E6
3,10X72_3,SI-3A-F6
4,10X73_3,SI-3A-A7
5,10X73_4,SI-3A-B7
6,10X73_6,SI-3A-D7
7,10X75_1,SI-3A-A8
8,10X74_4,SI-3A-E7
