Lane,Sample,Index
1,10X53_6,SI-3A-F11
2,10X53_7,SI-3A-G11
3,10X56_1,SI-3A-A12
4,10X56_2,SI-3A-B12
5,10X56_3,SI-3A-C12
6,10X56_4,SI-3A-D12
7,10X56_5,SI-3A-E12
8,10X56_6,SI-3A-F12
