Lane,Sample,Index
1,10X41_6,SI-3A-B6
2,10X52_2,SI-3A-B10
3,10X52_3,SI-3A-C10
4,10X52_4,SI-3A-D10
5,10X52_5,SI-3A-E10
6,10X52_6,SI-3A-F10
7,10X52_7,SI-3A-G10
8,10X52_8,SI-3A-H10
