Lane,Sample,Index
1,10X04_3,SI-3A-G3
2,10X04_4,SI-3A-H3
3,10X05_2,SI-3A-H2
4,10X05_4,SI-3A-D3
5,10X06_1,SI-3A-A4
6,10X06_2,SI-3A-B4
7,10X07_1,SI-3A-D4
8,10X08_1,SI-3A-A2
